ID::585390400849977344	Text::President Obama @BarackObama This Roseline Augustin call me Roseline Augustine in MiamiFlorida I died already I need rest in peace please	Time::2015-04-07 3:35:22 AM	Lattitude::25.79005	Longitude::-80.200344
ID::585390896797081600	Text::President  Obama  is handing Democrats winning  issues  for 2016 but those like @SenSchumer too busy kissing Bibi's butt to see the truth.	Time::2015-04-07 3:37:20 AM	Lattitude::38.757025	Longitude::-76.784078
ID::585391481617154048	Text::@jimmygarner @Eat_shit_obama @bittergrama @hunterrebel @steph93065 Obama agrees a drivers license now that he game them to illegals.	Time::2015-04-07 3:39:39 AM	Lattitude::36.043242	Longitude::-90.497748
ID::585391832105746432	Text::http://t.co/JnA3Y4QMzU. Obama loves me !	Time::2015-04-07 3:41:03 AM	Lattitude::43.702462	Longitude::-93.379262
ID::585393349755998208	Text::DE-News : In an interview with NPR's Morning Edition host Steve Inskeep President Obama said Wisconsin Gov. Scott… http://t.co/U5F8H5AI9N	Time::2015-04-07 3:47:05 AM	Lattitude::52.59132	Longitude::13.467578
ID::585393412674752512	Text::@wyomobe //Obama 'I needed a legacy! Iran will have a bomb during my term. Couldn't have done without my help! Allah will reward! 72 goats!'	Time::2015-04-07 3:47:20 AM	Lattitude::41.184168	Longitude::-104.816511
ID::585393712768876544	Text::@PlramseyBrown @SenSchumer He wants  power and will stab President  Obama  in  back  to get  it.	Time::2015-04-07 3:48:31 AM	Lattitude::38.75701	Longitude::-76.784155
ID::585394812645351424	Text::I was insulted! Obama in a baptist church! Then the SS searched everyone? I would have refused and made the pastor do something.	Time::2015-04-07 3:52:54 AM	Lattitude::35.99654	Longitude::-83.933033
ID::585395784390148096	Text::All I really want in life is hugs from Michelle and Barak Obama	Time::2015-04-07 3:56:45 AM	Lattitude::51.942956	Longitude::-0.53585
ID::585398209142398976	Text:: @aditi2005:@DrGPradhan@CTRavi_BJP Obama:I thank Narendra Modi 4 exemplary evacuation work in yemen @sardesairajdeep:what about 2002 Sir? 	Time::2015-04-07 4:06:23 AM	Lattitude::23.017857	Longitude::72.518906
ID::585398261168615424	Text::@Doranimated Another legacy for Obama he helped destroy the Alawite sect. I wonder if this 'achievement' will make it to Os library?	Time::2015-04-07 4:06:36 AM	Lattitude::38.842232	Longitude::-77.278613
ID::585398688249470977	Text:: @TimesofIsrael: Iran deal ‘buys 13-15 years’ of assurance says Obama http://t.co/7R4kMrCtOy  Is he completely naive or what??!	Time::2015-04-07 4:08:18 AM	Lattitude::40.821637	Longitude::-73.955413
ID::585399338911731713	Text::@RepLoBiondo You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/z1FxqNuqKV	Time::2015-04-07 4:10:53 AM	Lattitude::26.211923	Longitude::-98.269715
ID::585399633901260801	Text::@RepHalRogers You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/XsQZrruqcN	Time::2015-04-07 4:12:03 AM	Lattitude::26.21193	Longitude::-98.269702
ID::585399667715735552	Text::@RepDLamborn You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/XrjSdSHkBn	Time::2015-04-07 4:12:11 AM	Lattitude::26.21193	Longitude::-98.269702
ID::585399726268256256	Text::@farenthold You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/oKPqTrnC4U	Time::2015-04-07 4:12:25 AM	Lattitude::26.211974	Longitude::-98.269657
ID::585399750998040576	Text::@NaughtyBeyotch Obama is so full of shit. Iran does not fear us with him In the White House nobody fears the US	Time::2015-04-07 4:12:31 AM	Lattitude::35.886355	Longitude::-80.22576
ID::585399800692019201	Text::@MarshaBlackburn You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/ODaFPv6MtV	Time::2015-04-07 4:12:43 AM	Lattitude::26.211984	Longitude::-98.269648
